Position,Track Name,Artist,date,region,id
3,Capri Sun,NKD,2019-11-25,fr,4L7NBCOGCGNyB4KuasocB7
4,Yellow Hearts,Ant Saunders,2019-11-25,fr,2W4yABdLc4Jnds67Poi5Nl
5,Falling,Trevor Daniel,2019-11-25,fr,4TnjEaWOeW0eKTKIEvJyCa
6,AVM,YG Pablo,2019-11-25,fr,7piwPRs4IRLfUyAaq8ozmD
7,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-25,fr,6cy3ki60hLwimwIje7tALf
8,Suga Suga,Népal,2019-11-25,fr,1kY2dTf9Tpa8QRHlAJeRYd
9,Bim Bam toi - Junior Eurovision 2019 / France,Carla,2019-11-25,fr,33NTeQz7sVYLmkJ1k8GsVR
10,Ma vie,Dadju,2019-11-25,fr,5HQw9ij3dkr7ZJYUYe82ho
11,Turn Me On (feat. Vula),Riton,2019-11-25,fr,0qaWEvPkts34WF68r8Dzx9
12,Popopop,Gambi,2019-11-25,fr,18HNGxDOcshRU2Hdu8tMOM
13,Roses - Imanbek Remix,SAINt JHN,2019-11-25,fr,24Yi9hE78yPEbZ4kxyoXAI
14,Don't Be So Serious,Low Roar,2019-11-25,fr,21R2CqRJ47nbe1CYUKMP3c
15,Bloodflow - Edit,Grandbrothers,2019-11-25,fr,4Ex5OCOC8pBwGDMzGbmFNf
16,Dance Monkey,Tones and I,2019-11-25,fr,1rgnBhdG2JDFTbYkYRZAku
17,Loin de moi,Naza,2019-11-25,fr,30kxl4FnaEFS2qZkec3Zak
18,Babylone,Népal,2019-11-25,fr,2j494b1ZhXswDVorEIV5va
19,Trampoline (with ZAYN),SHAED,2019-11-25,fr,1iQDltZqI7BXnHrFy4Qo1k
20,Love Songs - Bonus,Kaash Paige,2019-11-25,fr,6qL5UWxRSQYml9O99ozoLv
21,Chute d'étoiles,Suzuya,2019-11-25,fr,5O81ev3SYWsC9vQOUgEfFM
22,40%,Aya Nakamura,2019-11-25,fr,47LFcy7prvEY5D08d26zOo
23,Street,Maes,2019-11-25,fr,0MtMUDO6tzHq1ux9rwSJhl
24,Merci Qui ?,TheVivi,2019-11-25,fr,2Y10XCLbnSrCSoxZwFSs3M
25,Côte Ouest,47ter,2019-11-25,fr,4ZuuPLV4qYiznagLAFPHcW
26,Sad (feat. Afrojack),Chico Rose,2019-11-25,fr,4ESPuOrSsRcBISzcMlzmY5
27,Alibi,Rémy,2019-11-25,fr,4iIH0uHA0KI2kHJaKnZN03
28,Your Life,Sylow,2019-11-25,fr,7zygYbNqQbqzK9WxChlfrY
29,Skyclub,Népal,2019-11-25,fr,3ydEwex0A7Lno5LgimRMua
30,Be Honest,Jorja Smith,2019-11-25,fr,3IWs9dAwTqN0EFhOIcBDfs
31,Hé oh,Gambi,2019-11-25,fr,1bWafkUCOp6luXRs1cm3w9
32,Ride It,Regard,2019-11-25,fr,2tnVG71enUj33Ic2nFN6kZ
33,L'hymne de nos campagnes 2019,Tryo,2019-11-25,fr,6FNdxaAOler5LutmU2sVxT
34,Malik al mawt,Népal,2019-11-25,fr,3KId9KnkJ1FpdfsP5aKh1j
35,Confessions,Dadju,2019-11-25,fr,0mT4PTtg9wemcQCLRroNks
36,Don't Start Now,Dua Lipa,2019-11-25,fr,6WrI0LAC5M1Rw2MnX2ZvEg
37,Ma sœur,Clara Luciani,2019-11-25,fr,1DCJJCT2TwJO1OxZ9E7px9
38,Kodak White,Népal,2019-11-25,fr,1IbBbk6SGTrbG6caejCd3B
39,Message,Klem Schen,2019-11-25,fr,25rJXGujR4DMiE9tneGM5a
40,À nos héros du quotidien,Soprano,2019-11-25,fr,4zKqWCgGqwWlfJTNaj2R19
41,Un million par mois,Djadja & Dinaz,2019-11-25,fr,5JVf4pCn50ePuE6ZoF5oEg
42,Bloodflow,Grandbrothers,2019-11-25,fr,4ygSSIuPuM0EYu22s8YF4t
43,Memories,Maroon 5,2019-11-25,fr,2b8fOow8UzyDFAE27YhOZM
44,Dis-moi que tu me détestes.,Suzuya,2019-11-25,fr,6u20x85vTyif1Rx9qne2O2
45,Baianá,Bakermat,2019-11-25,fr,430efk5Jc5wGay4EWP4snS
46,Move Your Body,Marshall Jefferson,2019-11-25,fr,3YXIVMQLRRq2K7kxC7UYx6
47,Heart On Ice,Rod Wave,2019-11-25,fr,6fWa5CRgy0z30OeGZyMBvD
48,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-25,fr,2kJwzbxV2ppxnQoYw4GLBZ
49,Contemplation,Roxaane,2019-11-25,fr,2fXPk3qPQTTQSVpXQkAiEL
50,San Pellegrino,Chily,2019-11-25,fr,30Mqfip5b5lCDpCLRvsrTq
1,Capri Sun,NKD,2019-11-24,fr,4L7NBCOGCGNyB4KuasocB7
2,ROXANNE,Arizona Zervas,2019-11-24,fr,696DnlkuDOXcMAnKlTgXXK
3,Rien d'spécial,Népal,2019-11-24,fr,1nhjvLsU8oIkbZLVPEfjK4
4,Yellow Hearts,Ant Saunders,2019-11-24,fr,2W4yABdLc4Jnds67Poi5Nl
5,AVM,YG Pablo,2019-11-24,fr,7piwPRs4IRLfUyAaq8ozmD
6,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-24,fr,6cy3ki60hLwimwIje7tALf
7,Falling,Trevor Daniel,2019-11-24,fr,4TnjEaWOeW0eKTKIEvJyCa
8,Suga Suga,Népal,2019-11-24,fr,1kY2dTf9Tpa8QRHlAJeRYd
9,Ma vie,Dadju,2019-11-24,fr,5HQw9ij3dkr7ZJYUYe82ho
10,Turn Me On (feat. Vula),Riton,2019-11-24,fr,0qaWEvPkts34WF68r8Dzx9
11,Trampoline (with ZAYN),SHAED,2019-11-24,fr,1iQDltZqI7BXnHrFy4Qo1k
12,Popopop,Gambi,2019-11-24,fr,18HNGxDOcshRU2Hdu8tMOM
13,Bim Bam toi - Junior Eurovision 2019 / France,Carla,2019-11-24,fr,33NTeQz7sVYLmkJ1k8GsVR
14,Love Songs - Bonus,Kaash Paige,2019-11-24,fr,6qL5UWxRSQYml9O99ozoLv
15,Dance Monkey,Tones and I,2019-11-24,fr,1rgnBhdG2JDFTbYkYRZAku
16,Don't Be So Serious,Low Roar,2019-11-24,fr,21R2CqRJ47nbe1CYUKMP3c
17,Chute d'étoiles,Suzuya,2019-11-24,fr,5O81ev3SYWsC9vQOUgEfFM
18,Bloodflow - Edit,Grandbrothers,2019-11-24,fr,4Ex5OCOC8pBwGDMzGbmFNf
19,Sad (feat. Afrojack),Chico Rose,2019-11-24,fr,4ESPuOrSsRcBISzcMlzmY5
20,Roses - Imanbek Remix,SAINt JHN,2019-11-24,fr,24Yi9hE78yPEbZ4kxyoXAI
21,Loin de moi,Naza,2019-11-24,fr,30kxl4FnaEFS2qZkec3Zak
22,Babylone,Népal,2019-11-24,fr,2j494b1ZhXswDVorEIV5va
23,Côte Ouest,47ter,2019-11-24,fr,4ZuuPLV4qYiznagLAFPHcW
24,Bloodflow,Grandbrothers,2019-11-24,fr,4ygSSIuPuM0EYu22s8YF4t
25,Alibi,Rémy,2019-11-24,fr,4iIH0uHA0KI2kHJaKnZN03
26,40%,Aya Nakamura,2019-11-24,fr,47LFcy7prvEY5D08d26zOo
27,Ride It,Regard,2019-11-24,fr,2tnVG71enUj33Ic2nFN6kZ
28,Be Honest,Jorja Smith,2019-11-24,fr,3IWs9dAwTqN0EFhOIcBDfs
29,Hé oh,Gambi,2019-11-24,fr,1bWafkUCOp6luXRs1cm3w9
30,Skyclub,Népal,2019-11-24,fr,3ydEwex0A7Lno5LgimRMua
31,Pump It Up,Endor,2019-11-24,fr,0GiwV6v3AgJfdu59tj719Y
32,Assez ?,MAGENTA,2019-11-24,fr,2YZv0mekKoYbK2fZwSFEGM
33,Message,Klem Schen,2019-11-24,fr,25rJXGujR4DMiE9tneGM5a
34,L'hymne de nos campagnes 2019,Tryo,2019-11-24,fr,6FNdxaAOler5LutmU2sVxT
35,Move Your Body,Marshall Jefferson,2019-11-24,fr,3YXIVMQLRRq2K7kxC7UYx6
36,Malik al mawt,Népal,2019-11-24,fr,3KId9KnkJ1FpdfsP5aKh1j
37,Lose You To Love Me,Selena Gomez,2019-11-24,fr,1HfMVBKM75vxSfsQ5VefZ5
38,Memories,Maroon 5,2019-11-24,fr,2b8fOow8UzyDFAE27YhOZM
39,Baianá,Bakermat,2019-11-24,fr,430efk5Jc5wGay4EWP4snS
40,À nos héros du quotidien,Soprano,2019-11-24,fr,4zKqWCgGqwWlfJTNaj2R19
41,Ahouu!,N'seven7,2019-11-24,fr,1Cn3KlMoCaCP0Rjc5JZgDF
42,Contemplation,Roxaane,2019-11-24,fr,2fXPk3qPQTTQSVpXQkAiEL
43,Dis-moi que tu me détestes.,Suzuya,2019-11-24,fr,6u20x85vTyif1Rx9qne2O2
44,Bien sûr,Jean-Louis Aubert,2019-11-24,fr,260GXOGpTNlVu0nqBgcZlh
45,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-24,fr,2kJwzbxV2ppxnQoYw4GLBZ
46,Attaque,Captaine Roshi,2019-11-24,fr,1ug6DWVo2VZ7oHJOBNmmGF
47,Kodak White,Népal,2019-11-24,fr,1IbBbk6SGTrbG6caejCd3B
48,Un million par mois,Djadja & Dinaz,2019-11-24,fr,5JVf4pCn50ePuE6ZoF5oEg
49,Ma sœur,Clara Luciani,2019-11-24,fr,1DCJJCT2TwJO1OxZ9E7px9
50,San Pellegrino,Chily,2019-11-24,fr,30Mqfip5b5lCDpCLRvsrTq
1,Capri Sun,NKD,2019-11-23,fr,4L7NBCOGCGNyB4KuasocB7
2,ROXANNE,Arizona Zervas,2019-11-23,fr,696DnlkuDOXcMAnKlTgXXK
3,Rien d'spécial,Népal,2019-11-23,fr,1nhjvLsU8oIkbZLVPEfjK4
4,Yellow Hearts,Ant Saunders,2019-11-23,fr,2W4yABdLc4Jnds67Poi5Nl
5,AVM,YG Pablo,2019-11-23,fr,7piwPRs4IRLfUyAaq8ozmD
6,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-23,fr,6cy3ki60hLwimwIje7tALf
7,Trampoline (with ZAYN),SHAED,2019-11-23,fr,1iQDltZqI7BXnHrFy4Qo1k
8,Ma vie,Dadju,2019-11-23,fr,5HQw9ij3dkr7ZJYUYe82ho
9,Suga Suga,Népal,2019-11-23,fr,1kY2dTf9Tpa8QRHlAJeRYd
10,Turn Me On (feat. Vula),Riton,2019-11-23,fr,0qaWEvPkts34WF68r8Dzx9
11,Falling,Trevor Daniel,2019-11-23,fr,4TnjEaWOeW0eKTKIEvJyCa
12,Don't Be So Serious,Low Roar,2019-11-23,fr,21R2CqRJ47nbe1CYUKMP3c
13,Popopop,Gambi,2019-11-23,fr,18HNGxDOcshRU2Hdu8tMOM
14,Love Songs - Bonus,Kaash Paige,2019-11-23,fr,6qL5UWxRSQYml9O99ozoLv
15,Bim Bam toi - Junior Eurovision 2019 / France,Carla,2019-11-23,fr,33NTeQz7sVYLmkJ1k8GsVR
16,Dance Monkey,Tones and I,2019-11-23,fr,1rgnBhdG2JDFTbYkYRZAku
17,Bloodflow - Edit,Grandbrothers,2019-11-23,fr,4Ex5OCOC8pBwGDMzGbmFNf
18,Roses - Imanbek Remix,SAINt JHN,2019-11-23,fr,24Yi9hE78yPEbZ4kxyoXAI
19,Chute d'étoiles,Suzuya,2019-11-23,fr,5O81ev3SYWsC9vQOUgEfFM
20,Loin de moi,Naza,2019-11-23,fr,30kxl4FnaEFS2qZkec3Zak
21,Sad (feat. Afrojack),Chico Rose,2019-11-23,fr,4ESPuOrSsRcBISzcMlzmY5
22,Côte Ouest,47ter,2019-11-23,fr,4ZuuPLV4qYiznagLAFPHcW
23,Babylone,Népal,2019-11-23,fr,2j494b1ZhXswDVorEIV5va
24,Bloodflow,Grandbrothers,2019-11-23,fr,4ygSSIuPuM0EYu22s8YF4t
25,Alibi,Rémy,2019-11-23,fr,4iIH0uHA0KI2kHJaKnZN03
26,40%,Aya Nakamura,2019-11-23,fr,47LFcy7prvEY5D08d26zOo
27,Ride It,Regard,2019-11-23,fr,2tnVG71enUj33Ic2nFN6kZ
28,Hé oh,Gambi,2019-11-23,fr,1bWafkUCOp6luXRs1cm3w9
29,Skyclub,Népal,2019-11-23,fr,3ydEwex0A7Lno5LgimRMua
30,Pump It Up,Endor,2019-11-23,fr,0GiwV6v3AgJfdu59tj719Y
31,Be Honest,Jorja Smith,2019-11-23,fr,3IWs9dAwTqN0EFhOIcBDfs
32,Lose You To Love Me,Selena Gomez,2019-11-23,fr,1HfMVBKM75vxSfsQ5VefZ5
33,L'hymne de nos campagnes 2019,Tryo,2019-11-23,fr,6FNdxaAOler5LutmU2sVxT
34,Message,Klem Schen,2019-11-23,fr,25rJXGujR4DMiE9tneGM5a
35,Baianá,Bakermat,2019-11-23,fr,430efk5Jc5wGay4EWP4snS
36,Assez ?,MAGENTA,2019-11-23,fr,2YZv0mekKoYbK2fZwSFEGM
37,Attaque,Captaine Roshi,2019-11-23,fr,1ug6DWVo2VZ7oHJOBNmmGF
38,Malik al mawt,Népal,2019-11-23,fr,3KId9KnkJ1FpdfsP5aKh1j
39,À nos héros du quotidien,Soprano,2019-11-23,fr,4zKqWCgGqwWlfJTNaj2R19
40,Memories,Maroon 5,2019-11-23,fr,2b8fOow8UzyDFAE27YhOZM
41,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-23,fr,2kJwzbxV2ppxnQoYw4GLBZ
42,Un million par mois,Djadja & Dinaz,2019-11-23,fr,5JVf4pCn50ePuE6ZoF5oEg
43,Dis-moi que tu me détestes.,Suzuya,2019-11-23,fr,6u20x85vTyif1Rx9qne2O2
44,Kodak White,Népal,2019-11-23,fr,1IbBbk6SGTrbG6caejCd3B
45,San Pellegrino,Chily,2019-11-23,fr,30Mqfip5b5lCDpCLRvsrTq
46,Bien sûr,Jean-Louis Aubert,2019-11-23,fr,260GXOGpTNlVu0nqBgcZlh
47,Move Your Body,Marshall Jefferson,2019-11-23,fr,3YXIVMQLRRq2K7kxC7UYx6
48,Ahouu!,N'seven7,2019-11-23,fr,1Cn3KlMoCaCP0Rjc5JZgDF
49,Que Calor (feat. J Balvin & El Alfa),Major Lazer,2019-11-23,fr,1G2CAJeP7rCwOZjlSJ0Zw3
50,Ma sœur,Clara Luciani,2019-11-23,fr,1DCJJCT2TwJO1OxZ9E7px9
1,Capri Sun,NKD,2019-11-22,fr,4L7NBCOGCGNyB4KuasocB7
2,ROXANNE,Arizona Zervas,2019-11-22,fr,696DnlkuDOXcMAnKlTgXXK
3,Rien d'spécial,Népal,2019-11-22,fr,1nhjvLsU8oIkbZLVPEfjK4
4,Bim Bam toi - Junior Eurovision 2019 / France,Carla,2019-11-22,fr,33NTeQz7sVYLmkJ1k8GsVR
5,Yellow Hearts,Ant Saunders,2019-11-22,fr,2W4yABdLc4Jnds67Poi5Nl
6,Trampoline (with ZAYN),SHAED,2019-11-22,fr,1iQDltZqI7BXnHrFy4Qo1k
7,Ma vie,Dadju,2019-11-22,fr,5HQw9ij3dkr7ZJYUYe82ho
8,AVM,YG Pablo,2019-11-22,fr,7piwPRs4IRLfUyAaq8ozmD
9,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-22,fr,6cy3ki60hLwimwIje7tALf
10,Don't Be So Serious,Low Roar,2019-11-22,fr,21R2CqRJ47nbe1CYUKMP3c
11,Suga Suga,Népal,2019-11-22,fr,1kY2dTf9Tpa8QRHlAJeRYd
12,Turn Me On (feat. Vula),Riton,2019-11-22,fr,0qaWEvPkts34WF68r8Dzx9
13,Popopop,Gambi,2019-11-22,fr,18HNGxDOcshRU2Hdu8tMOM
14,Love Songs - Bonus,Kaash Paige,2019-11-22,fr,6qL5UWxRSQYml9O99ozoLv
15,Dance Monkey,Tones and I,2019-11-22,fr,1rgnBhdG2JDFTbYkYRZAku
16,Bloodflow - Edit,Grandbrothers,2019-11-22,fr,4Ex5OCOC8pBwGDMzGbmFNf
17,Loin de moi,Naza,2019-11-22,fr,30kxl4FnaEFS2qZkec3Zak
18,Falling,Trevor Daniel,2019-11-22,fr,4TnjEaWOeW0eKTKIEvJyCa
19,Chute d'étoiles,Suzuya,2019-11-22,fr,5O81ev3SYWsC9vQOUgEfFM
20,Roses - Imanbek Remix,SAINt JHN,2019-11-22,fr,24Yi9hE78yPEbZ4kxyoXAI
21,Sad (feat. Afrojack),Chico Rose,2019-11-22,fr,4ESPuOrSsRcBISzcMlzmY5
22,Côte Ouest,47ter,2019-11-22,fr,4ZuuPLV4qYiznagLAFPHcW
23,Bloodflow,Grandbrothers,2019-11-22,fr,4ygSSIuPuM0EYu22s8YF4t
24,Babylone,Népal,2019-11-22,fr,2j494b1ZhXswDVorEIV5va
25,Alibi,Rémy,2019-11-22,fr,4iIH0uHA0KI2kHJaKnZN03
26,40%,Aya Nakamura,2019-11-22,fr,47LFcy7prvEY5D08d26zOo
27,Ride It,Regard,2019-11-22,fr,2tnVG71enUj33Ic2nFN6kZ
28,Hé oh,Gambi,2019-11-22,fr,1bWafkUCOp6luXRs1cm3w9
29,Pump It Up,Endor,2019-11-22,fr,0GiwV6v3AgJfdu59tj719Y
30,Lose You To Love Me,Selena Gomez,2019-11-22,fr,1HfMVBKM75vxSfsQ5VefZ5
31,Skyclub,Népal,2019-11-22,fr,3ydEwex0A7Lno5LgimRMua
32,Attaque,Captaine Roshi,2019-11-22,fr,1ug6DWVo2VZ7oHJOBNmmGF
33,Message,Klem Schen,2019-11-22,fr,25rJXGujR4DMiE9tneGM5a
34,Baianá,Bakermat,2019-11-22,fr,430efk5Jc5wGay4EWP4snS
35,Assez ?,MAGENTA,2019-11-22,fr,2YZv0mekKoYbK2fZwSFEGM
36,L'hymne de nos campagnes 2019,Tryo,2019-11-22,fr,6FNdxaAOler5LutmU2sVxT
37,À nos héros du quotidien,Soprano,2019-11-22,fr,4zKqWCgGqwWlfJTNaj2R19
38,Malik al mawt,Népal,2019-11-22,fr,3KId9KnkJ1FpdfsP5aKh1j
39,San Pellegrino,Chily,2019-11-22,fr,30Mqfip5b5lCDpCLRvsrTq
40,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-22,fr,2kJwzbxV2ppxnQoYw4GLBZ
41,Un million par mois,Djadja & Dinaz,2019-11-22,fr,5JVf4pCn50ePuE6ZoF5oEg
42,Dis-moi que tu me détestes.,Suzuya,2019-11-22,fr,6u20x85vTyif1Rx9qne2O2
43,Bien sûr,Jean-Louis Aubert,2019-11-22,fr,260GXOGpTNlVu0nqBgcZlh
44,Memories,Maroon 5,2019-11-22,fr,2b8fOow8UzyDFAE27YhOZM
45,Rock And Roll Part II,Gary Glitter,2019-11-22,fr,63W11KVHDOpSlh3XMQ7qMg
46,Marie,Koba LaD,2019-11-22,fr,4NcZKLjdfTJLpaCOspAjQn
47,Kodak White,Népal,2019-11-22,fr,1IbBbk6SGTrbG6caejCd3B
48,Que Calor (feat. J Balvin & El Alfa),Major Lazer,2019-11-22,fr,1G2CAJeP7rCwOZjlSJ0Zw3
49,Ahouu!,N'seven7,2019-11-22,fr,1Cn3KlMoCaCP0Rjc5JZgDF
50,Contemplation,Roxaane,2019-11-22,fr,2fXPk3qPQTTQSVpXQkAiEL
Position,Track Name,Artist,date,region,id
1,El Güero,Marca MP,2019-11-25,mx,4tidSEPF7Dbxcdxv3VyIHd
2,Valiente,Koko,2019-11-25,mx,11lIZiXNEY3eacKxwEvDiK
3,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-25,mx,6cy3ki60hLwimwIje7tALf
4,Yellow Hearts,Ant Saunders,2019-11-25,mx,2W4yABdLc4Jnds67Poi5Nl
5,Pongamonos De Acuerdo En Vivo,Julions Alvarez,2019-11-25,mx,4LAgGxPsaI4HeOJStF8tgV
6,A Cuánto Me Quedé,Giovanny Ayala,2019-11-25,mx,4HgB85fVdWG83EZOHj5paV
7,Dance Monkey,Tones and I,2019-11-25,mx,1rgnBhdG2JDFTbYkYRZAku
8,ROXANNE,Arizona Zervas,2019-11-25,mx,696DnlkuDOXcMAnKlTgXXK
9,Buttercup,Jack Stauber,2019-11-25,mx,2mlGPkAx4kwF8Df0GlScsC
10,Don't Start Now,Dua Lipa,2019-11-25,mx,6WrI0LAC5M1Rw2MnX2ZvEg
11,Falling,Trevor Daniel,2019-11-25,mx,4TnjEaWOeW0eKTKIEvJyCa
12,Que Tire Pa Lante,Daddy Yankee,2019-11-25,mx,6RyaV7owmVU6fzEPE17sF1
13,Alocao (With Bad Gyal),Omar Montes,2019-11-25,mx,6RyuoOJXNzlVWpfC5xQyeI
14,El Güero - En vivo,Marca MP,2019-11-25,mx,7a6gK5GwlIvGTU4ayZhskd
15,Pa' Olvidarme De Ella,Piso 21,2019-11-25,mx,1cVlW9WQiGlFdWUXFdFZGh
16,Ride It,Regard,2019-11-25,mx,2tnVG71enUj33Ic2nFN6kZ
17,Primer Avión,Matisse,2019-11-25,mx,1CaBwYdWhxUeE4j3w0WqbL
18,Fantasias,Rauw Alejandro,2019-11-25,mx,6mAN61JH0dzyZpWslS11jy
19,Rompelo,DJ Pedro Fuentes,2019-11-25,mx,6k2evQXcf7n9Lbc7V5XkOX
20,Caballero,Alejandro Fernandez,2019-11-25,mx,5DL6BDuqhnQw8HfIvUYkm9
21,Love Songs - Bonus,Kaash Paige,2019-11-25,mx,6qL5UWxRSQYml9O99ozoLv
22,Tanto,Jesse & Joy,2019-11-25,mx,3bCuNSiaBHqxdevMYEnGpe
23,Ella,Junior H,2019-11-25,mx,0tKl8ZVM6xJkhznvJAS3Nq
24,Disfruto Lo Malo,Junior H,2019-11-25,mx,7LH2UUuyMHt7035PLZQ8wx
25,Te Encontre,El Vega,2019-11-25,mx,2kP6fOqdSQ5CYqVH5z5844
26,Adicto (with Anuel AA & Ozuna),Tainy,2019-11-25,mx,3jbT1Y5MoPwEIpZndDDwVq
27,Oye Pablo,Danna Paola,2019-11-25,mx,4wJFExEZZo62tmwTM9ENDR
28,Lose You To Love Me,Selena Gomez,2019-11-25,mx,1HfMVBKM75vxSfsQ5VefZ5
29,Candy,Doja Cat,2019-11-25,mx,1VJwtWR6z7SpZRwipI12be
30,LA CANCIÓN,J Balvin,2019-11-25,mx,0fea68AdmYNygeTGI4RC18
31,Tutu,Camilo,2019-11-25,mx,1nocRtwyNPVtGcIJqfgdzZ
32,Aventura,Lunay,2019-11-25,mx,37zdqI4r1gswIzczSBkRon
33,Tu Sicaria,Ms Nina,2019-11-25,mx,6fatMybX8VmHUpaxVcXzrz
34,Whine Up,Nicky Jam,2019-11-25,mx,2pWOMNQJW3g2zmGjP0Vkb0
35,El Drip,Natanael Cano,2019-11-25,mx,5NCBP3ivrIDcHEtzHSW3k0
36,Cradles,Sub Urban,2019-11-25,mx,1y4jsQt7MjnZhiD1L6qFBC
37,Soñé,Julión Álvarez & Su Norteño Banda,2019-11-25,mx,5RKClHNCc5x2BritkOF7tI
38,Oye,TINI,2019-11-25,mx,09nSCeCs6eYfAIJVfye1CE
39,If The World Was Ending (feat. Julia Michaels),JP Saxe,2019-11-25,mx,2kJwzbxV2ppxnQoYw4GLBZ
40,Quizas,Rich Music LTD,2019-11-25,mx,5Id5B3dxJZhPcV9GzgYZZe
41,Yo Ya No Vuelvo Contigo - En Vivo,Lenin Ramírez,2019-11-25,mx,1s59X35jDULAyOGmBuTAnd
42,Memories,Maroon 5,2019-11-25,mx,2b8fOow8UzyDFAE27YhOZM
43,Lights Up,Harry Styles,2019-11-25,mx,5aJEh9Oqdz7PRLKTpH25pB
44,Dime tú,Danny Ocean,2019-11-25,mx,6z8sQFj47s9ZG0Ls1k9Gct
45,Arriba Del 300,Dan Sanchez,2019-11-25,mx,5yHn0mPrtgdGC0eUROoodQ
46,Tutu,Grupo Sigma,2019-11-25,mx,17k7SsqugbzwScpKHmlIAD
47,La Mejor Versión de Mi - Remix,Natti Natasha,2019-11-25,mx,2dy3TKVDEbIeWxeIb8JWqZ
48,A Dónde Vamos,Morat,2019-11-25,mx,671sG3ETDxC3L6qcGIrHRM
49,El Roto - En Vivo,Grupo Firme,2019-11-25,mx,21bfgzz92T3L96IsFn8Kvy
50,Callaita,Bad Bunny,2019-11-25,mx,2TH65lNHgvLxCKXM3apjxI
1,El Güero,Marca MP,2019-11-24,mx,4tidSEPF7Dbxcdxv3VyIHd
2,Valiente,Koko,2019-11-24,mx,11lIZiXNEY3eacKxwEvDiK
3,RITMO (Bad Boys For Life),The Black Eyed Peas,2019-11-24,mx,6cy3ki60hLwimwIje7tALf
4,Yellow Hearts,Ant Saunders,2019-11-24,mx,2W4yABdLc4Jnds67Poi5Nl
5,A Cuánto Me Quedé,Giovanny Ayala,2019-11-24,mx,4HgB85fVdWG83EZOHj5paV
6,Dance Monkey,Tones and I,2019-11-24,mx,1rgnBhdG2JDFTbYkYRZAku
7,Pongamonos De Acuerdo En Vivo,Julions Alvarez,2019-11-24,mx,4LAgGxPsaI4HeOJStF8tgV
8,ROXANNE,Arizona Zervas,2019-11-24,mx,696DnlkuDOXcMAnKlTgXXK
9,El Güero - En vivo,Marca MP,2019-11-24,mx,7a6gK5GwlIvGTU4ayZhskd
10,Buttercup,Jack Stauber,2019-11-24,mx,2mlGPkAx4kwF8Df0GlScsC
11,Que Tire Pa Lante,Daddy Yankee,2019-11-24,mx,6RyaV7owmVU6fzEPE17sF1
12,Alocao (With Bad Gyal),Omar Montes,2019-11-24,mx,6RyuoOJXNzlVWpfC5xQyeI
13,Ride It,Regard,2019-11-24,mx,2tnVG71enUj33Ic2nFN6kZ
14,Love Songs - Bonus,Kaash Paige,2019-11-24,mx,6qL5UWxRSQYml9O99ozoLv
15,Pa' Olvidarme De Ella,Piso 21,2019-11-24,mx,1cVlW9WQiGlFdWUXFdFZGh
16,Primer Avión,Matisse,2019-11-24,mx,1CaBwYdWhxUeE4j3w0WqbL
17,Fantasias,Rauw Alejandro,2019-11-24,mx,6mAN61JH0dzyZpWslS11jy
18,Falling,Trevor Daniel,2019-11-24,mx,4TnjEaWOeW0eKTKIEvJyCa
19,Te Encontre,El Vega,2019-11-24,mx,2kP6fOqdSQ5CYqVH5z5844
20,Rompelo,DJ Pedro Fuentes,2019-11-24,mx,6k2evQXcf7n9Lbc7V5XkOX
21,Caballero,Alejandro Fernandez,2019-11-24,mx,5DL6BDuqhnQw8HfIvUYkm9
22,Lose You To Love Me,Selena Gomez,2019-11-24,mx,1HfMVBKM75vxSfsQ5VefZ5
23,Tanto,Jesse & Joy,2019-11-24,mx,3bCuNSiaBHqxdevMYEnGpe
24,Más De Ti,Llane,2019-11-24,mx,4svaGEtJdr5gdhBvdIkGaL
25,Soy El Diablo - Remix,Natanael Cano,2019-11-24,mx,7pNAvsuTCFaXzSSUmfBPxz
26,Adicto (with Anuel AA & Ozuna),Tainy,2019-11-24,mx,3jbT1Y5MoPwEIpZndDDwVq
27,Oye Pablo,Danna Paola,2019-11-24,mx,4wJFExEZZo62tmwTM9ENDR
28,Tu Sicaria,Ms Nina,2019-11-24,mx,6fatMybX8VmHUpaxVcXzrz
29,Oye,TINI,2019-11-24,mx,09nSCeCs6eYfAIJVfye1CE
30,Tutu,Camilo,2019-11-24,mx,1nocRtwyNPVtGcIJqfgdzZ
31,LA CANCIÓN,J Balvin,2019-11-24,mx,0fea68AdmYNygeTGI4RC18
32,Candy,Doja Cat,2019-11-24,mx,1VJwtWR6z7SpZRwipI12be
33,Lights Up,Harry Styles,2019-11-24,mx,2plLJpUcYPFrl1sW2pMG63
34,Aventura,Lunay,2019-11-24,mx,37zdqI4r1gswIzczSBkRon
35,Tutu,Grupo Sigma,2019-11-24,mx,17k7SsqugbzwScpKHmlIAD
36,Sentimientos Encontrados,Deep Nao,2019-11-24,mx,1VNCPfbpiWexSZcbdZZ5ZY
